name,email,password,role,assessee,gov_id,,referensi_gov_id,referensi_nama_pemda
"John Doe",johndoe@example.com,password123,User,yes,1,,1,Aceh
"Jane Smith",janesmith@example.com,password123,Admin,no,,,2,"Sumatera Utara"
,,,,,,,3,"Sumatera Barat"
,,,,,,,4,Riau
,,,,,,,5,Jambi
,,,,,,,6,"Sumatera Selatan"
,,,,,,,7,Bengkulu
,,,,,,,8,Lampung
,,,,,,,9,"Kep. Bangka Belitung"
,,,,,,,10,"Kep. Riau"
,,,,,,,11,"DKI Jakarta"
,,,,,,,12,"Jawa Barat"
,,,,,,,13,"Jawa Tengah"
,,,,,,,14,"DI Yogyakarta"
,,,,,,,15,"Jawa Timur"
,,,,,,,16,Banten
,,,,,,,17,Bali
,,,,,,,18,"Nusa Tenggara Barat"
,,,,,,,19,"Nusa Tenggara Timur"
,,,,,,,20,"Kalimantan Barat"
,,,,,,,21,"Kalimantan Tengah"
,,,,,,,22,"Kalimantan Selatan"
,,,,,,,23,"Kalimantan Timur"
,,,,,,,24,"Kalimantan Utara"
,,,,,,,25,"Sulawesi Utara"
,,,,,,,26,"Sulawesi Tengah"
,,,,,,,27,"Sulawesi Selatan"
,,,,,,,28,"Sulawesi Tenggara"
,,,,,,,29,Gorontalo
,,,,,,,30,"Sulawesi Barat"
,,,,,,,31,Maluku
,,,,,,,32,"Maluku Utara"
,,,,,,,33,"Papua Barat"
,,,,,,,34,Papua
,,,,,,,35,"Kabupaten Simeulue"
,,,,,,,36,"Kabupaten Aceh Singkil"
,,,,,,,37,"Kabupaten Aceh Selatan"
,,,,,,,38,"Kabupaten Aceh Tenggara"
,,,,,,,39,"Kabupaten Aceh Timur"
,,,,,,,40,"Kabupaten Aceh Tengah"
,,,,,,,41,"Kabupaten Aceh Barat"
,,,,,,,42,"Kabupaten Aceh Besar"
,,,,,,,43,"Kabupaten Pidie"
,,,,,,,44,"Kabupaten Bireuen"
,,,,,,,45,"Kabupaten Aceh Utara"
,,,,,,,46,"Kabupaten Aceh Barat Daya"
,,,,,,,47,"Kabupaten Gayo Lues"
,,,,,,,48,"Kabupaten Aceh Tamiang"
,,,,,,,49,"Kabupaten Nagan Raya"
,,,,,,,50,"Kabupaten Aceh Jaya"
,,,,,,,51,"Kabupaten Bener Meriah"
,,,,,,,52,"Kabupaten Pidie Jaya"
,,,,,,,53,"Kota Banda Aceh"
,,,,,,,54,"Kota Sabang"
,,,,,,,55,"Kota Langsa"
,,,,,,,56,"Kota Lhokseumawe"
,,,,,,,57,"Kota Subulussalam"
,,,,,,,58,"Kabupaten Nias"
,,,,,,,59,"Kabupaten Mandailing Natal"
,,,,,,,60,"Kabupaten Tapanuli Selatan"
,,,,,,,61,"Kabupaten Tapanuli Tengah"
,,,,,,,62,"Kabupaten Tapanuli Utara"
,,,,,,,63,"Kabupaten Toba Samosir"
,,,,,,,64,"Kabupaten Labuhan Batu"
,,,,,,,65,"Kabupaten Asahan"
,,,,,,,66,"Kabupaten Simalungun"
,,,,,,,67,"Kabupaten Dairi"
,,,,,,,68,"Kabupaten Karo"
,,,,,,,69,"Kabupaten Deli Serdang"
,,,,,,,70,"Kabupaten Langkat"
,,,,,,,71,"Kabupaten Nias Selatan"
,,,,,,,72,"Kabupaten Humbang Hasundutan"
,,,,,,,73,"Kabupaten Pakpak Bharat"
,,,,,,,74,"Kabupaten Samosir"
,,,,,,,75,"Kabupaten Serdang Bedagai"
,,,,,,,76,"Kabupaten Batu Bara"
,,,,,,,77,"Kabupaten Padang Lawas Utara"
,,,,,,,78,"Kabupaten Padang Lawas"
,,,,,,,79,"Kabupaten Labuhan Batu Selatan"
,,,,,,,80,"Kabupaten Labuhan Batu Utara"
,,,,,,,81,"Kabupaten Nias Utara"
,,,,,,,82,"Kabupaten Nias Barat"
,,,,,,,83,"Kota Sibolga"
,,,,,,,84,"Kota Tanjung Balai"
,,,,,,,85,"Kota Pematang Siantar"
,,,,,,,86,"Kota Tebing Tinggi"
,,,,,,,87,"Kota Medan"
,,,,,,,88,"Kota Binjai"
,,,,,,,89,"Kota Padangsidimpuan"
,,,,,,,90,"Kota Gunungsitoli"
,,,,,,,91,"Kabupaten Kepulauan Mentawai"
,,,,,,,92,"Kabupaten Pesisir Selatan"
,,,,,,,93,"Kabupaten Solok"
,,,,,,,94,"Kabupaten Sijunjung"
,,,,,,,95,"Kabupaten Tanah Datar"
,,,,,,,96,"Kabupaten Padang Pariaman"
,,,,,,,97,"Kabupaten Agam"
,,,,,,,98,"Kabupaten Lima Puluh Kota"
,,,,,,,99,"Kabupaten Pasaman"
,,,,,,,100,"Kabupaten Solok Selatan"
,,,,,,,101,"Kabupaten Dharmasraya"
,,,,,,,102,"Kabupaten Pasaman Barat"
,,,,,,,103,"Kota Padang"
,,,,,,,104,"Kota Solok"
,,,,,,,105,"Kota Sawah Lunto"
,,,,,,,106,"Kota Padang Panjang"
,,,,,,,107,"Kota Bukittinggi"
,,,,,,,108,"Kota Payakumbuh"
,,,,,,,109,"Kota Pariaman"
,,,,,,,110,"Kabupaten Kuantan Singingi"
,,,,,,,111,"Kabupaten Indragiri Hulu"
,,,,,,,112,"Kabupaten Indragiri Hilir"
,,,,,,,113,"Kabupaten Pelalawan"
,,,,,,,114,"Kabupaten Siak"
,,,,,,,115,"Kabupaten Kampar"
,,,,,,,116,"Kabupaten Rokan Hulu"
,,,,,,,117,"Kabupaten Bengkalis"
,,,,,,,118,"Kabupaten Rokan Hilir"
,,,,,,,119,"Kabupaten Kepulauan Meranti"
,,,,,,,120,"Kota Pekanbaru"
,,,,,,,121,"Kota Dumai"
,,,,,,,122,"Kabupaten Kerinci"
,,,,,,,123,"Kabupaten Merangin"
,,,,,,,124,"Kabupaten Sarolangun"
,,,,,,,125,"Kabupaten Batang Hari"
,,,,,,,126,"Kabupaten Muaro Jambi"
,,,,,,,127,"Kabupaten Tanjung Jabung Timur"
,,,,,,,128,"Kabupaten Tanjung Jabung Barat"
,,,,,,,129,"Kabupaten Tebo"
,,,,,,,130,"Kabupaten Bungo"
,,,,,,,131,"Kota Jambi"
,,,,,,,132,"Kota Sungai Penuh"
,,,,,,,133,"Kabupaten Ogan Komering Ulu"
,,,,,,,134,"Kabupaten Ogan Komering Ilir"
,,,,,,,135,"Kabupaten Muara Enim"
,,,,,,,136,"Kabupaten Lahat"
,,,,,,,137,"Kabupaten Musi Rawas"
,,,,,,,138,"Kabupaten Musi Banyuasin"
,,,,,,,139,"Kabupaten Banyu Asin"
,,,,,,,140,"Kabupaten Ogan Komering Ulu Selatan"
,,,,,,,141,"Kabupaten Ogan Komering Ulu Timur"
,,,,,,,142,"Kabupaten Ogan Ilir"
,,,,,,,143,"Kabupaten Empat Lawang"
,,,,,,,144,"Kabupaten Penukal Abab Lematang Ilir"
,,,,,,,145,"Kabupaten Musi Rawas Utara"
,,,,,,,146,"Kota Palembang"
,,,,,,,147,"Kota Prabumulih"
,,,,,,,148,"Kota Pagar Alam"
,,,,,,,149,"Kota Lubuklinggau"
,,,,,,,150,"Kabupaten Bengkulu Selatan"
,,,,,,,151,"Kabupaten Rejang Lebong"
,,,,,,,152,"Kabupaten Bengkulu Utara"
,,,,,,,153,"Kabupaten Kaur"
,,,,,,,154,"Kabupaten Seluma"
,,,,,,,155,"Kabupaten Mukomuko"
,,,,,,,156,"Kabupaten Lebong"
,,,,,,,157,"Kabupaten Kepahiang"
,,,,,,,158,"Kabupaten Bengkulu Tengah"
,,,,,,,159,"Kota Bengkulu"
,,,,,,,160,"Kabupaten Lampung Barat"
,,,,,,,161,"Kabupaten Tanggamus"
,,,,,,,162,"Kabupaten Lampung Selatan"
,,,,,,,163,"Kabupaten Lampung Timur"
,,,,,,,164,"Kabupaten Lampung Tengah"
,,,,,,,165,"Kabupaten Lampung Utara"
,,,,,,,166,"Kabupaten Way Kanan"
,,,,,,,167,"Kabupaten Tulangbawang"
,,,,,,,168,"Kabupaten Pesawaran"
,,,,,,,169,"Kabupaten Pringsewu"
,,,,,,,170,"Kabupaten Mesuji"
,,,,,,,171,"Kabupaten Tulang Bawang Barat"
,,,,,,,172,"Kabupaten Pesisir Barat"
,,,,,,,173,"Kota Bandar Lampung"
,,,,,,,174,"Kota Metro"
,,,,,,,175,"Kabupaten Bangka"
,,,,,,,176,"Kabupaten Belitung"
,,,,,,,177,"Kabupaten Bangka Barat"
,,,,,,,178,"Kabupaten Bangka Tengah"
,,,,,,,179,"Kabupaten Bangka Selatan"
,,,,,,,180,"Kabupaten Belitung Timur"
,,,,,,,181,"Kota Pangkal Pinang"
,,,,,,,182,"Kabupaten Karimun"
,,,,,,,183,"Kabupaten Bintan"
,,,,,,,184,"Kabupaten Natuna"
,,,,,,,185,"Kabupaten Lingga"
,,,,,,,186,"Kabupaten Kepulauan Anambas"
,,,,,,,187,"Kota Batam"
,,,,,,,188,"Kota Tanjung Pinang"
,,,,,,,189,"Kabupaten Bogor"
,,,,,,,190,"Kabupaten Sukabumi"
,,,,,,,191,"Kabupaten Cianjur"
,,,,,,,192,"Kabupaten Bandung"
,,,,,,,193,"Kabupaten Garut"
,,,,,,,194,"Kabupaten Tasikmalaya"
,,,,,,,195,"Kabupaten Ciamis"
,,,,,,,196,"Kabupaten Kuningan"
,,,,,,,197,"Kabupaten Cirebon"
,,,,,,,198,"Kabupaten Majalengka"
,,,,,,,199,"Kabupaten Sumedang"
,,,,,,,200,"Kabupaten Indramayu"
,,,,,,,201,"Kabupaten Subang"
